club_name,end_of_spell,manager,Level,league,tier,sacked,probability_of_sacking_true,error
1.FC Nuremberg,2019-11-05,Damir Canadi,Senior,2. Bundesliga,2,True,0.85,
Atromitos,2019-05-18,Damir Canadi,Senior,Super League Greece,1,True,0.85,
Rapid Vienna,2017-04-09,Zoran Barisic,Senior,Austrian Bundesliga,1,True,0.85,
SCR Altach,2016-11-10,Damir Canadi,Senior,Austrian Bundesliga,1,True,0.85,
FC Lustenau,2013-01-06,Kurt Jara,Senior,Austrian Football Bundesliga,1,True,0.8,
Simmering,2011-10-10,Helmut Kraft,Senior,Austrian Regionalliga East,3,True,0.8,
FAC TfW,2010-06-30,Dietmar Constantini,Senior,Austrian Bundesliga,1,True,0.85,
LASK II,2010-05-07,Günter Kronsteiner,Reserve,Austrian Regionalliga Central,Third Tier,False,,
Loko Moscow,2009-04-28,Rashid Rakhimov,Senior,Russian Premier League,1,True,0.85,
FAC TfW,2008-06-30,Ladislav Jurkemik,Senior,Austrian Bundesliga,1,True,0.85,
PSV TfW,2007-06-30,Ronald Koeman,Senior,Eredivisie,1,False,,
SV Donau,2004-11-20,Walter Schachner,Senior,Austrian Bundesliga,1,True,0.8,
Fortuna 05,2003-10-20,Falko Götz,Senior,2. Bundesliga,2,True,0.85,
Leopoldsdorf,2001-12-31,Franz Wohlfahrt,Senior,Austrian Regionalliga East,3,True,0.8,
Servette FC,2025-06-30,Alain Geiger,Senior,Swiss Super League,1,True,0.8,
Kashima Antlers,2022-08-07,Daiki Iwamasa,Senior,J1 League,1,True,0.85,
El Ahly,2020-10-01,Rene Weiler,Senior,Egyptian Premier League,1,True,0.8,
FC Luzern,2019-02-18,René Weiler,Senior,Swiss Super League,1,True,0.85,
RSC Anderlecht,2017-09-18,Rene Weiler,Senior,Belgian Pro League,1,True,0.85,
1.FC Nuremberg,2016-06-30,René Weiler,Senior,2. Bundesliga,2,True,0.85,
FC Aarau,2014-06-30,Ryszard Komornicki,Senior,Swiss Challenge League,2,True,0.8,
FC Schaffhausen,2011-04-13,René Weiler,Senior,Challenge League,2,True,0.85,
GC Zürich U16,2009-06-30,Fredi Bobic,Youth,Swiss U16 League,U16,False,,
St. Gallen U21,2007-10-25,Rolf Fringer,Reserve,Swiss Challenge League,2,True,0.8,
FC St. Gallen,2005-04-29,Gerd Zeise,Senior,Swiss Super League,1,True,0.85,
FC St. Gallen,2007-10-25,Rolf Fringer,Senior,Swiss Super League,1,True,0.85,
FC Winterthur,2004-11-30,Hansruedi Baumann,Senior,Swiss Challenge League,2,True,0.8,
Winterthur U18,2002-06-30,Hans-Peter Zaugg,Youth,Swiss U18 League,U18,False,,
FC Winterthur,2002-06-30,Rolf Fringer,Senior,Nationalliga B,2,True,0.8,
Seligenporten,2018-06-30,Heiko Herrlich,Senior,Regionalliga Bayern,4,False,,
Nuremberg II,2016-06-30,Michael Wiesinger,Reserve,Regionalliga Bayern,4,False,,
1.FC Nuremberg,2014-06-30,Gertjan Verbeek,Senior,Bundesliga,1,True,0.85,
Nuremberg II,2014-04-22,Roger Prinzen,Reserve,Regionalliga Bayern,4,False,,
1.FC Nuremberg,2013-10-21,Michael Wiesinger,Senior,Bundesliga,1,True,0.85,
Nuremberg II,2013-10-06,Michael Wiesinger,Reserve,Regionalliga Süd,4,True,0.85,
Liechtenst. U21,2013-06-30,Rene Pauritsch,Youth,UEFA U-21 Championship,International,False,,
FC Vaduz,2012-06-30,Eric Orie,Senior,Swiss Challenge League,2,True,0.8,
St. Gallen U18,2010-06-30,Marco Schällibaum,Youth,Swiss U18 League,U18,False,,
Liechtenst. U21,2009-06-30,Ralf Loose,Youth,UEFA U-21 Championship,International,False,,
A. Lustenau II,2009-06-30,Kurt Jara,Reserve,Austrian Regionalliga West,Third Tier,False,,
FC Balzers,2007-06-30,Kurt Jara,Senior,Liechtensteiner Cup,1,True,0.8,
A. Lustenau,2009-09-30,Kurt Jara,Senior,Austrian Bundesliga,1,True,0.8,
TSG Hoffenheim,2016-06-30,Huub Stevens,Senior,Bundesliga,1,True,0.8,
1.FC Nuremberg,2012-12-31,Dieter Hecking,Senior,Bundesliga,1,True,0.85,
KFC Uerdingen,1997-06-30,Friedhelm Funkel,Senior,2. Bundesliga,2,True,0.8,
KFC Uerdingen,1996-06-30,Friedhelm Funkel,Senior,2. Bundesliga,2,True,0.8,
KFC Uerdingen,1996-05-29,Friedhelm Funkel,Senior,2. Bundesliga,2,True,0.8,
Eltersdorf,2013-06-30,Günter Güttler,Senior,Regionalliga Bayern,4,False,,
Nürnberg U19,2010-06-30,Dieter Märkle,Youth,U19 Bundesliga,1,False,,
Nürnberg U19,2008-07-01,Dieter Märkle,Youth,U19 Bundesliga,1,False,,
1.FC Nuremberg,2007-06-30,Hans Meyer,Senior,Bundesliga,1,True,0.8,
1.FC Nuremberg,2005-11-08,Wolfgang Wolf,Senior,Bundesliga,1,True,0.85,
Quelle Fürth,2002-06-30,Benno Möhlmann,Senior,2. Bundesliga,2,True,0.8,
1.FC Nuremberg,1990-06-30,Hermann Gerland,Senior,Bundesliga,1,True,0.8,
Nürnberg Yth.,2015-06-30,Roger Prinzen,Youth,Under 19 Bundesliga,1,False,,
DJK Limes 09,2013-05-15,Thomas Kost,Senior,Oberliga Rheinland-Pfalz/Saar,5,False,,
FC Holzheim,2010-06-30,Thomas Dooley,Senior,Regionalliga West,4,False,,
1.FC Schnaittach,2010-12-31,Thomas Karg,Senior,Bezirksliga Mittelfranken-Nord,7,False,,
SpVgg Weiden,2005-09-10,Thomas Richter,Senior,Regionalliga Süd,3,True,0.8,
1.FC Nuremberg,2000-03-02,Friedhelm Funkel,Senior,2. Bundesliga,2,True,0.85,
1.FC Nuremberg,1998-12-31,Felix Magath,Senior,Bundesliga,1,True,0.85,
Nuremberg II,2003-04-30,Gerald Weber,Reserve,Regionalliga Süd,3,False,,
SV Bonlanden,1998-05-28,Rainer Adrion,Senior,Regionalliga Süd,3,True,0.85,
1.FC Nuremberg,1994-01-02,Willi Entenmann,Senior,2. Bundesliga,2,True,0.85,
1.FC Nuremberg,1994-11-09,Rainer Zobel,Senior,Bundesliga,1,True,0.85,
Darmstadt 98,1990-03-31,Werner Olk,Senior,2. Bundesliga,2,True,0.8,
K. Offenbach,1989-03-06,Friedhelm Konietzka,Senior,2. Bundesliga,2,True,0.85,
Stuttg. Kickers,1987-06-30,Willibald Hahn,Senior,2. Bundesliga,2,True,0.8,
Stuttg. Kickers,1984-10-21,Willibald Hahn,Senior,2. Bundesliga,2,True,0.85,
St. Kickers U19,1982-06-30,Hans-Joachim Witzleben,Youth,Bundesliga U19,1,False,,
1.FC Nuremberg,1983-12-31,Rudi Kröner,Senior,Bundesliga,1,True,0.8,
1.FC Nuremberg,1981-09-08,Horst Heese,Senior,Bundesliga,1,True,0.85,
1.FC Nuremberg,1981-05-26,Robert Schafstall,Senior,Bundesliga,1,True,0.8,
FC Augsburg,1981-03-31,Heinz Elzner,Senior,2. Bundesliga,2,True,0.8,
SpVgg Bayreuth,1980-06-30,Heinz Elzner,Senior,2. Bundesliga,2,True,0.8,
FC Bayern Hof,1977-02-28,Heinz Elzner,Senior,2. Bundesliga,2,True,0.8,
SpVgg Fürth,1974-06-30,Hermann Eppenhoff,Senior,Bundesliga,1,True,0.8,
Jahn Regensburg,1972-01-31,Helmut Richert,Senior,Regionalliga Süd,2,True,0.8,
VfR Mannheim,1970-06-30,Berti Vogts,Senior,Regionalliga Süd,2,False,,
FC Bayern Hof,1968-06-30,Hans-Wolfgang Weber,Senior,Regionalliga Süd,2,True,0.8,
VfB Helmbrechts,1966-06-30,Heinz Elzner,Senior,Bayernliga,3,True,0.8,
Bad Kreuznach,1963-06-30,Kurt Sommerlatt,Senior,Oberliga Südwest,1,True,0.8,
1.FC Nuremberg,1981-06-30,Horst Schüler,Senior,Bundesliga,1,True,0.8,
SSV Reutlingen,1977-06-30,Helmut Johann,Senior,Regionalliga Süd,2,True,0.8,
SpVgg Fürth,1975-06-30,Hermann Eppenhoff,Senior,2. Bundesliga,2,False,,
Union Heilbronn,1974-06-30,Rudi Faßnacht,Senior,Regionalliga Süd,2,False,,
SpVgg Fürth,1971-06-30,Zlatko Čajkovski,Senior,Bundesliga,1,True,0.8,
Freiburger FC,1968-06-30,Eugen Johann,Senior,Regionalliga Süd,2,True,0.8,
Chio Waldhof 07,1966-06-30,Rudi Gutendorf,Senior,Nationalliga B,2,True,0.8,
TSG Ulm 1846,1963-06-30,Rudi Gutendorf,Senior,Oberliga Süd,1,True,0.8,
FC Bayern Hof,1960-06-30,Hans-Wolfgang Weber,Senior,Bayernliga,III,False,,
Aschaffenburg,1956-06-30,Kurt Kraaz,Senior,Oberliga Süd,1,True,0.8,
KRC Genk,1989-06-30,Ernst Künnecke,Senior,Belgian First Division,1,True,0.8,
KSC Hasselt,1986-06-30,Walter Meeuws,Senior,Belgian Second Division,2,True,0.8,
Beringen FC,1983-11-26,Han Grijzenhout,Senior,Belgian First Division,1,True,0.85,
KSK Tongeren,1983-04-30,Rik Pauwels,Senior,Belgian Second Division,2,True,0.8,
1.FC Nuremberg,1979-08-18,Horst Buhtz,Senior,Bundesliga,1,True,0.85,
Waterschei THOR,1979-06-30,Hans Croon,Senior,Belgian First Division,1,False,,
Royal Antwerp,1977-06-30,Hannes Coremans,Senior,Belgian First Division,1,True,0.8,
Beringen FC,1973-06-30,Julien Lefevre,Senior,Belgian First Division,1,True,0.8,
Beerschot VAV,1970-06-30,Hector Breyne,Senior,Belgian First Division,1,True,0.8,
RRC Brüssel,1969-06-30,András Béres,Senior,Belgian First Division,1,True,0.8,
Wuppertaler SV,1983-11-30,Willi Holdorf,Senior,2. Bundesliga,2,True,0.85,
